kepid,kepoi_name,ra_str,dec_str,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_vet_stat,koi_vet_date
4067925,K03066.01,19h37m09.61s,+39d07m36.7s,CANDIDATE,CANDIDATE,24.22049,0.00028,-0.00028,146.4227,0.0076,-0.0076,862,,,3.2999,,,,,,0.38,0.98,-0.98,89.38,,,0.151,,,0,,,,,,0.027,0.012,-0.012,54,27,-27,2.1,1.7,-1.7,490.0,,,5106.00,99.00,,4.620,0.300,-0.300,,,,0.7100,0.4800,-0.4800,0.7840,0.0900,-0.0900,4.2,3.8,-3.8,Pinsonneault,Active,2013-10-25
4847782,K03067.01,19h40m15.46s,+39d57m38.4s,FALSE POSITIVE,FALSE POSITIVE,30.95978,0.00046,-0.00046,139.4373,0.009,-0.009,451,,,2.8668,,,,,,1.05,0.74,-0.74,85.94,,,0.176,,,0,,,,,,0.082,0.04,-0.04,14,6.9,-6.9,5.9,3.7,-3.7,420.0,,,4916.00,175.00,-175.00,4.680,0.300,-0.300,,,,0.6600,0.2700,-0.2700,0.7510,0.0590,-0.0590,0.8,3.9,-3.9,Pinsonneault,Active,2013-10-25
6021275,K00284.02,18h52m56.59s,+41d20m34.9s,CANDIDATE,CANDIDATE,6.414842,4.7e-05,-4.7e-05,169.6416,0.0024,-0.0024,122,,,3.5547,,,,,,0.798,0.1,-0.1,84.8,,,0.067,,,0,,,,,,0.01135,0.00026,-0.00026,8.6,1.6,-1.6,1.28,0.13,-0.13,1025.0,,,5925.00,53.00,-53.00,4.400,0.100,-0.100,,,,1.0300,0.1000,-0.1000,0.9820,0.0400,-0.0400,5.6,2.5,-2.5,SPC,Active,2013-10-25
3230805,K03068.01,19h21m02.47s,+38d21m18.0s,CANDIDATE,CANDIDATE,3.916765,2.4e-05,-2.4e-05,133.6056,0.004,-0.004,177,,,2.1396,,,,,,0.28,0.82,-0.82,88.81,,,0.044,,,0,,,,,,0.0121,0.0051,-0.0051,14.3,6.8,-6.8,0.87,0.37,-0.37,833.0,,,4892.00,63.00,-63.00,4.680,0.300,-0.300,,,,0.6560,0.0190,-0.0190,0.7460,0.0180,-0.0180,1.1,3.9,-3.9,Pinsonneault,Active,2013-10-25
4676964,K03069.01,19h48m09.41s,+39d47m06.9s,CANDIDATE,CANDIDATE,43.1036,0.00081,-0.00081,140.116,0.014,-0.014,321,,,7.0288,,,,,,0.91,0.54,-0.54,87.09,,,0.23,,,0,,,,,,0.02,0.0043,-0.0043,19.7,9.8,-9.8,2.23,0.97,-0.97,524.0,,,5639.00,129.00,-129.00,4.370,0.300,-0.300,,,,1.0200,0.3900,-0.3900,0.8780,0.0690,-0.0690,11.6,3.5,-3.5,Pinsonneault,Active,2013-10-25
3656121,K00386.02,19h36m26.58s,+38d42m36.8s,CANDIDATE,CANDIDATE,76.7324,0.0011,-0.0011,200.6746,0.0041,-0.0041,719,,,5.8936,,,,,,0.555,0.1,-0.1,89.38,,,0.364,,,0,,,,,,0.02547,0.00055,-0.00055,85.8,3,-3,3.1,1.2,-1.2,481.0,,,6212.00,98.00,-98.00,4.380,0.300,-0.300,,,,1.1200,0.4300,-0.4300,1.0900,0.1100,-0.1100,2.7,1.1,-1.1,Pinsonneault,Active,2013-10-25
3733628,K00387.01,19h08m52.49s,+38d51m45.1s,CANDIDATE,CANDIDATE,13.899645,3.6e-05,-3.6e-05,182.86325,0.00091,-0.00091,1135,,,3.5285,,,,,,0.7,0.26,-0.26,88.24,,,0.098,,,0,,,,,,0.033,0.0027,-0.0027,22.8,8.5,-8.5,2.18,0.2,-0.2,496.0,,,4528.00,55.00,-55.00,4.690,0.100,-0.100,,,,0.6040,0.0240,-0.0240,0.6490,0.0220,-0.0220,10.2,3.8,-3.8,SPC,Active,2013-10-25
3831053,K00388.01,18h58m49.66s,+38d56m12.6s,CANDIDATE,CANDIDATE,6.149362,4.2e-05,-4.2e-05,169.5638,0.0023,-0.0023,356,,,5.5268,,,,,,0.388,0.1,-0.1,87.09,,,0.068,,,0,,,,,,0.01746,0.00022,-0.00022,8.02,0.76,-0.76,3.01,0.4,-0.4,1214.0,,,5707.00,50.00,-50.00,4.080,0.100,-0.100,,,,1.5800,0.2100,-0.2100,1.0920,0.0690,-0.0690,7.7,1.4,-1.4,SPC,Active,2013-10-25
3847708,K00389.01,19h22m48.24s,+38d57m16.9s,FALSE POSITIVE,FALSE POSITIVE,3.7412365,6.5e-06,-6.5e-06,171.7059,0.0012,-0.0012,375,,,2.5199,,,,,,0.03,0.1,-0.1,89.95,,,0.044,,,0,,,,,,0.0172,0.0084,-0.0084,11.59,0.19,-0.19,1.34,0.66,-0.66,919.0,,,5170.00,66.00,-66.00,4.640,0.300,-0.300,,,,0.7140,0.0440,-0.0440,0.8110,0.0210,-0.0210,1,3.8,-3.8,Pinsonneault,Active,2013-10-25
3849155,K00390.01,19h24m30.72s,+38d54m52.9s,FALSE POSITIVE,FALSE POSITIVE,1.1683106,1.1e-06,-1.1e-06,170.60331,0.00051,-0.00051,299,,,1.3463,,,,,,0.03,0.11,-0.11,89.95,,,0.021,,,0,,,,,,0.0156,0.0075,-0.0075,6.92,0.33,-0.33,1.5,1.2,-1.2,1568.0,,,5517.00,73.00,-73.00,4.490,0.300,-0.300,,,,0.8700,0.5600,-0.5600,0.8600,0.1300,-0.1300,8.2,3.7,-3.7,Pinsonneault,Active,2013-10-25
