ra_str,dec_str,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_duration,koi_ingress,koi_impact,koi_incl,koi_sma,koi_eccen,koi_ror,koi_dor,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_sparprov,koi_vet_date
19h54m50.60s,+47d22m11.7s,FALSE POSITIVE,1.854463,132.4983,361,2.8,1.4,1,43,0.028085,0,0.036,1.36,3,1224,NA,NA,0.755,NA,NA,,9/5/13
19h21m20.93s,+38d12m18.0s,FALSE POSITIVE,0.9753074,132.1693,111,1.05,0.13,0.95,67,0.0195118,0,0.0123,2.4,1.32,1901,NA,NA,0.988,NA,NA,,7/31/13
19h13m49.45s,+45d48m07.6s,FALSE POSITIVE,31.80558,150.6824,207,3.95,0.06,0,90,0.175659,0,0.013,57,1,434,NA,NA,0.703,NA,NA,,9/12/13
19h22m59.80s,+38d39m32.8s,FALSE POSITIVE,0.5044472,131.87354,245,0.93,0.05,0.83,70,0.0126537,0,0.0163,2.4,1.8,2416,NA,NA,1.015,NA,NA,,7/31/13
19h27m51.17s,+43d52m54.0s,FALSE POSITIVE,2.152898,132.3721,34.4,2.24,0.9,0.9933,38.2,0.0326743,0,0.008,1.26,1.13,1643,NA,NA,1.286,NA,NA,,9/5/13
19h24m54.55s,+50d55m18.4s,FALSE POSITIVE,2.616005,132.3861,126,5.1,0.07,0.5,82,0.0381581,0,0.0106,3,1.14,1379,NA,NA,0.989,NA,NA,,9/5/13
19h55m36.03s,+40d18m12.9s,FALSE POSITIVE,0.894909,132.206,261,1.87,0.08,0.8,71,0.0182732,0,0.016,2.4,1.5,1661,NA,NA,0.848,NA,NA,,7/31/13
19h39m05.74s,+43d03m22.7s,CONFIRMED,8.010944,170.2057,1045,3.4129,NA,0.948,83.08,0.063,0,0.0384,7.66,2.09,478,3855,4.75,0.498,0.514,13.8,Pinsonneault,10/25/13
19h39m05.74s,+43d03m22.7s,CONFIRMED,12.07172,143.4484,448,4.9738,NA,0.868,84.8,0.083,0,0.0225,10.1,1.23,417,3855,4.75,0.498,0.514,13.8,Pinsonneault,10/25/13
19h51m54.03s,+43d09m53.7s,FALSE POSITIVE,1.00074307,169.975,1751,1.1322,NA,1,64.17,0.019,0,0.076,2.3,8.3,1769,5531,4.37,1,0.84,14,Pinsonneault,10/25/13
19h24m33.02s,+36d34m38.6s,CONFIRMED,8.8849176,169.99111,15827,2.0809,NA,0.02,89.95,0.077,0,0.1118,36.3,9.4,721,5152,4.54,0.77,0.77,12.9,Pinsonneault,10/25/13
19h45m59.36s,+40d45m56.3s,FALSE POSITIVE,122.9083,195.884,567,12,0.3,0,90,0.474499,0,0.022,80,2,332,NA,NA,0.837,NA,NA,,7/31/13
19h50m25.63s,+40d39m23.3s,FALSE POSITIVE,12.42436,141.553,88,17.4,0.1,0,90,0.10825,0,0.0086,6,0.95,833,NA,NA,1.01,NA,NA,,9/5/13
19h56m29.49s,+40d29m20.7s,FALSE POSITIVE,0.842325,131.7389,66.3,0.986,0.04,0.88,74,0.0169523,0,0.0087,3.3,0.94,1931,NA,NA,0.987,NA,NA,,7/31/13
19h57m40.84s,+40d44m18.2s,FALSE POSITIVE,1.2940565,131.8574,74.3,1.337,0.035,0.82,79,0.0249541,0,0.0088,4.4,1.21,2075,NA,NA,1.261,NA,NA,,7/31/13
19h24m05.03s,+36d54m13.1s,FALSE POSITIVE,0.5394074,131.9348,45.9,2,0.015,0.4,78,0.0150105,0,0.0063,1.9,1.82,3704,NA,NA,2.625,NA,NA,,7/31/13
19h45m59.36s,+40d45m56.3s,FALSE POSITIVE,368.7181,318.833,1313,11.2,0.5,0.6,89.85,0.986985,0,0.034,219,3.1,230,NA,NA,0.837,NA,NA,,9/12/13
19h49m57.73s,+41d49m57.4s,FALSE POSITIVE,94.4445,166.1563,391,4.8,0.1,0,90,0.446625,0,0.018,147,5,609,NA,NA,2.513,NA,NA,,7/31/13
19h53m33.01s,+44d09m07.1s,FALSE POSITIVE,0.925686,132.099,32.7,1.064,0.37,0.9921,32.6,0.0185926,0,0.0078,1.178,0.85,1870.1,NA,NA,1,NA,NA,,7/31/13
19h26m45.76s,+41d19m58.4s,FALSE POSITIVE,0.537115,131.5496,37.4,1.01,0.012,0.7,76,0.0131962,0,0.006,2.9,1.33,2932,NA,NA,2.014,NA,NA,,7/31/13
19h07m14.03s,+49d18m59.0s,CONFIRMED,2.47061317,122.7625662,14284,1.7246,NA,0.822,84.22,0.036,0,0.12437,8.445,14.4,1394,5814,4.38,1.06,0.995,6.5,SPC,10/25/13
19h28m59.35s,+47d58m10.3s,CONFIRMED,2.20473537,121.357802,6713,3.8775,NA,0.1282,88.24,0.039,0,0.07545,4.681,22.3,2303,6264,3.79,2.71,1.66,1.98,SPC,10/25/13
18h45m09.15s,+42d27m03.9s,CONFIRMED,3.52249913,121.118595,9165,3.1984,NA,0.64,85.37,0.047,0,0.09328,7.5,15.9,1532,6025,4.11,1.56,1.14,5.4,SME,10/25/13
19h48m19.18s,+47d35m50.6s,FALSE POSITIVE,11.5214409,170.83901,17805,2.8317,NA,1.15,85.94,0.099,0,0.33,16.4,32,758,5803,4.55,0.87,0.977,0.3,Pinsonneault,10/25/13
19h17m01.97s,+47d38m07.1s,FALSE POSITIVE,19.403919,172.48461,10442,9.9632,NA,0.81,84.22,0.129,0,0.1081,7.74,9,549,5110,4.55,0.77,0.75,13.9,Pinsonneault,10/25/13
19h43m15.49s,+47d41m25.3s,FALSE POSITIVE,19.2213875,184.55142,77408,4.4624,NA,1.28,87.66,0.144,0,0.63,31,68,708,6134,4.48,0.99,1.079,0.3,Pinsonneault,10/25/13
