koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
'FALSE POSITIVE',186.207,90,0.691758,0.027,91,NA,NA,0.945,NA,NA
'FALSE POSITIVE',131.67481,82,0.022453,0.0115,4.6,NA,NA,4.315,NA,NA
'FALSE POSITIVE',132.0404,90,0.022737,0.019,3,NA,NA,0.776,NA,NA
'FALSE POSITIVE',132.4983,43,0.028085,0.036,1.36,NA,NA,0.755,NA,NA
'FALSE POSITIVE',132.1693,67,0.019512,0.0123,2.4,NA,NA,0.988,NA,NA
'FALSE POSITIVE',150.6824,90,0.175659,0.013,57,NA,NA,0.703,NA,NA
'FALSE POSITIVE',131.87354,70,0.012654,0.0163,2.4,NA,NA,1.015,NA,NA
'FALSE POSITIVE',132.3721,38.2,0.032674,0.008,1.26,NA,NA,1.286,NA,NA
'FALSE POSITIVE',132.3861,82,0.038158,0.0106,3,NA,NA,0.989,NA,NA
'FALSE POSITIVE',132.206,71,0.018273,0.016,2.4,NA,NA,0.848,NA,NA
CONFIRMED,170.2057,83.08,0.063,0.0384,7.66,3855.0,4.75,0.498,0.514,13.8
CONFIRMED,143.4484,84.8,0.083,0.0225,10.1,3855.0,4.75,0.498,0.514,13.8
'FALSE POSITIVE',169.975,64.17,0.019,0.076,2.3,5531.0,4.37,1,0.84,14.0
CONFIRMED,169.99111,89.95,0.077,0.1118,36.3,5152.0,4.54,0.77,0.77,12.9
'FALSE POSITIVE',195.884,90,0.474499,0.022,80,NA,NA,0.837,NA,NA
'FALSE POSITIVE',141.553,90,0.10825,0.0086,6,NA,NA,1.01,NA,NA
'FALSE POSITIVE',131.7389,74,0.016952,0.0087,3.3,NA,NA,0.987,NA,NA
'FALSE POSITIVE',131.8574,79,0.024954,0.0088,4.4,NA,NA,1.261,NA,NA
'FALSE POSITIVE',131.9348,78,0.015011,0.0063,1.9,NA,NA,2.625,NA,NA
'FALSE POSITIVE',318.833,89.85,0.986985,0.034,219,NA,NA,0.837,NA,NA
